p_hit_res,p_multi_scatter,eff_mean,eff_rms,ghost_mean,ghost_rms
0.0,0.0,0.9984,0.00517429544318194,0.0,0.0
0.0,1e-05,0.9341333333333334,0.11539605231067866,0.0,0.0
0.0,2e-05,0.8237333333333333,0.3382416230382588,0.0,0.0
0.0,3e-05,0.8165333333333333,0.3545438133088146,0.0,0.0
0.0,4e-05,0.8184666666666667,0.35266742911070703,0.0,0.0
0.0,5e-05,0.8154,0.3542007528695179,0.0,0.0
0.0,6e-05,0.8188666666666666,0.34947109878914007,0.0,0.0
0.0,7e-05,0.8191333333333334,0.35103833915336874,0.0,0.0
0.0,7.999999999999999e-05,0.8166,0.35193717242333655,0.0,0.0
0.0,8.999999999999999e-05,0.8158000000000001,0.35173905100230196,0.0,0.0
2e-05,0.0,0.9979333333333333,0.005921336185543114,0.0,0.0
2e-05,1e-05,0.9341333333333334,0.11544803544837343,0.0,0.0
2e-05,2e-05,0.8227333333333333,0.34034080305220854,0.0,0.0
2e-05,3e-05,0.82,0.3485321601612492,0.0,0.0
2e-05,4e-05,0.8191333333333334,0.35114847128940896,0.0,0.0
2e-05,5e-05,0.8154666666666667,0.35383534149218177,0.0,0.0
2e-05,6e-05,0.8180000000000001,0.3524674925909244,0.0,0.0
2e-05,7e-05,0.8167333333333334,0.3529126363406231,0.0,0.0
2e-05,7.999999999999999e-05,0.8172666666666667,0.35209638200672017,0.0,0.0
2e-05,8.999999999999999e-05,0.8168666666666666,0.35013356816443,0.0,0.0
4e-05,0.0,0.9974666666666667,0.007319987856699103,0.0,0.0
4e-05,1e-05,0.9293333333333333,0.1248394524534968,0.0,0.0
4e-05,2e-05,0.8252666666666667,0.3352704314761775,0.0,0.0
4e-05,3e-05,0.8152,0.3554184763533451,0.0,0.0
4e-05,4e-05,0.8172,0.35055787919638415,0.0,0.0
4e-05,5e-05,0.8180000000000001,0.35010855459414303,0.0,0.0
4e-05,6e-05,0.8168666666666666,0.35206085963777467,0.0,0.0
4e-05,7e-05,0.8181333333333334,0.35007501418346826,0.0,0.0
4e-05,7.999999999999999e-05,0.8154666666666667,0.35427406842098336,0.0,0.0
4e-05,8.999999999999999e-05,0.8153333333333334,0.3535301338720019,0.0,0.0
6.000000000000001e-05,0.0,0.9975333333333333,0.0067267294347913955,0.0,0.0
6.000000000000001e-05,1e-05,0.9286666666666668,0.12239099458520447,0.0,0.0
6.000000000000001e-05,2e-05,0.8263999999999999,0.3339646288655931,0.0,0.0
6.000000000000001e-05,3e-05,0.8162666666666667,0.3523001498091586,0.0,0.0
6.000000000000001e-05,4e-05,0.8154666666666667,0.354576905934696,0.0,0.0
6.000000000000001e-05,5e-05,0.8183333333333334,0.3504918765899654,0.0,0.0
6.000000000000001e-05,6e-05,0.8162666666666667,0.3518798027104647,0.0,0.0
6.000000000000001e-05,7e-05,0.8186666666666667,0.3494560853033691,0.0,0.0
6.000000000000001e-05,7.999999999999999e-05,0.8157333333333333,0.3518737399819556,0.0,0.0
6.000000000000001e-05,8.999999999999999e-05,0.8140666666666667,0.3533913725916667,0.0,0.0
8e-05,0.0,0.9977999999999999,0.006518691075157144,0.0,0.0
8e-05,1e-05,0.9283999999999999,0.12596338092212886,0.0,0.0
8e-05,2e-05,0.8215333333333333,0.3424378029495121,0.0,0.0
8e-05,3e-05,0.82,0.34622343460064436,0.0,0.0
8e-05,4e-05,0.8182,0.3502381475510628,0.0,0.0
8e-05,5e-05,0.8152666666666666,0.35347927174808363,0.0,0.0
8e-05,6e-05,0.8181333333333334,0.3488196987301925,0.0,0.0
8e-05,7e-05,0.8157333333333333,0.35524141400211523,0.0,0.0
8e-05,7.999999999999999e-05,0.817,0.35166413901145316,0.0,0.0
8e-05,8.999999999999999e-05,0.8178666666666666,0.35121614743946816,0.0,0.0
