metric,p_hit_res,slope_vs_ms
m_reconstruction_efficiency,0.0,-1506.1818181818103
m_reconstruction_efficiency,2e-05,-1507.4747474747307
m_reconstruction_efficiency,4e-05,-1494.6262626262492
m_reconstruction_efficiency,6.000000000000001e-05,-1501.5353535353404
m_reconstruction_efficiency,8e-05,-1476.8080808080676
m_ghost_rate,0.0,0.0
m_ghost_rate,2e-05,0.0
m_ghost_rate,4e-05,0.0
m_ghost_rate,6.000000000000001e-05,0.0
m_ghost_rate,8e-05,0.0
m_clone_fraction_total,0.0,0.0
m_clone_fraction_total,2e-05,0.0
m_clone_fraction_total,4e-05,0.0
m_clone_fraction_total,6.000000000000001e-05,0.0
m_clone_fraction_total,8e-05,0.0
m_hit_efficiency_weighted,0.0,-1388.8940268239853
m_hit_efficiency_weighted,2e-05,-1405.3774468621582
m_hit_efficiency_weighted,4e-05,-1381.2335317766062
m_hit_efficiency_weighted,6.000000000000001e-05,-1386.0419568294287
m_hit_efficiency_weighted,8e-05,-1373.893790633384
m_hit_efficiency_mean,0.0,-1388.8940268239853
m_hit_efficiency_mean,2e-05,-1405.3774468621582
m_hit_efficiency_mean,4e-05,-1381.2335317766062
m_hit_efficiency_mean,6.000000000000001e-05,-1386.0419568294287
m_hit_efficiency_mean,8e-05,-1373.893790633384
m_purity_primary_only,0.0,-1379.2663443908436
m_purity_primary_only,2e-05,-1396.415660632468
m_purity_primary_only,4e-05,-1370.9073595230464
m_purity_primary_only,6.000000000000001e-05,-1388.336269746413
m_purity_primary_only,8e-05,-1384.3804710152467
m_purity_all_matched,0.0,-1379.2663443908436
m_purity_all_matched,2e-05,-1396.415660632468
m_purity_all_matched,4e-05,-1370.9073595230464
m_purity_all_matched,6.000000000000001e-05,-1388.336269746413
m_purity_all_matched,8e-05,-1384.3804710152467
